PERMNO,date,TICKER,PRC,VOL,RET
14593,10-06-91,AAPL,46,1497173,-0.00271
14593,11-06-91,AAPL,44.625,1853996,-0.029891
14593,12-06-91,AAPL,42.375,3908195,-0.05042
14593,13-06-91,AAPL,42.125,1900005,-0.0059
14593,14-06-91,AAPL,41.125,2014516,-0.023739
14593,17-06-91,AAPL,42,1489530,0.021277
14593,18-06-91,AAPL,42.125,2187875,0.002976
14593,19-06-91,AAPL,41.75,1599562,-0.008902
14593,20-06-91,AAPL,42,1288487,0.005988
14593,21-06-91,AAPL,42,1843074,0
14593,24-06-91,AAPL,41.75,1858091,-0.005952
14593,25-06-91,AAPL,42.375,2037140,0.01497
14593,26-06-91,AAPL,43,2238409,0.014749
14593,27-06-91,AAPL,42.5,1352008,-0.011628
14593,28-06-91,AAPL,41.5,2027042,-0.023529
14593,01-07-91,AAPL,42.5,1741510,0.024096
14593,02-07-91,AAPL,42.25,1094947,-0.005882
14593,03-07-91,AAPL,43.125,2740004,0.02071
14593,05-07-91,AAPL,45.625,3040294,0.057971
14593,08-07-91,AAPL,46.75,2781300,0.024658
14593,09-07-91,AAPL,46.875,2026127,0.002674
14593,10-07-91,AAPL,47.25,1423880,0.008
14593,11-07-91,AAPL,46.75,1305865,-0.010582
14593,12-07-91,AAPL,46.75,1187479,0
14593,15-07-91,AAPL,45.5,1234323,-0.026738
14593,16-07-91,AAPL,43.75,1993947,-0.038462
14593,17-07-91,AAPL,42.5,1938178,-0.028571
14593,18-07-91,AAPL,44.875,3610685,0.055882
14593,19-07-91,AAPL,46,1149289,0.02507
14593,22-07-91,AAPL,46,972466,0
14593,23-07-91,AAPL,45,1215418,-0.021739
14593,24-07-91,AAPL,45,1175529,0
14593,25-07-91,AAPL,45.25,674233,0.005556
14593,26-07-91,AAPL,44.875,664100,-0.008287
14593,29-07-91,AAPL,45.5,477592,0.013928
14593,30-07-91,AAPL,46.5,822712,0.021978
14593,31-07-91,AAPL,46.25,919178,-0.005376
14593,01-08-91,AAPL,49.125,4007205,0.062162
14593,02-08-91,AAPL,50,2453518,0.017812
14593,05-08-91,AAPL,48.5,902394,-0.03
14593,06-08-91,AAPL,49.5,1971457,0.020619
14593,07-08-91,AAPL,50.375,1892730,0.017677
14593,08-08-91,AAPL,50.5,1694042,0.002481
14593,09-08-91,AAPL,50.75,1382913,0.00495
14593,12-08-91,AAPL,51.75,1275604,0.019704
14593,13-08-91,AAPL,53.5,2563451,0.033816
14593,14-08-91,AAPL,54.875,1797558,0.025701
14593,15-08-91,AAPL,53.25,1317573,-0.029613
14593,16-08-91,AAPL,53.25,1421072,0
14593,19-08-91,AAPL,50.5,2917174,-0.04939
14593,20-08-91,AAPL,51,1783638,0.009901
14593,21-08-91,AAPL,53.75,2008747,0.053922
14593,22-08-91,AAPL,54.25,1493830,0.009302
14593,23-08-91,AAPL,53,2162641,-0.023041
14593,26-08-91,AAPL,53,908902,0
14593,27-08-91,AAPL,54,898741,0.018868
14593,28-08-91,AAPL,53.25,962836,-0.013889
14593,29-08-91,AAPL,53,1013918,-0.004695
14593,30-08-91,AAPL,53,592436,0
14593,03-09-91,AAPL,52.5,612590,-0.009434
14593,04-09-91,AAPL,51.5,1071441,-0.019048
14593,05-09-91,AAPL,51,698345,-0.009709
14593,06-09-91,AAPL,51.5,710486,0.009804
14593,09-09-91,AAPL,53.25,1132061,0.033981
14593,10-09-91,AAPL,50.125,1634409,-0.058685
14593,11-09-91,AAPL,50.5,1591787,0.007481
14593,12-09-91,AAPL,50.625,1066500,0.002475
14593,13-09-91,AAPL,48.625,1491506,-0.039506
14593,16-09-91,AAPL,47.25,1839232,-0.028278
14593,17-09-91,AAPL,49,1211204,0.037037
14593,18-09-91,AAPL,50.125,1085302,0.022959
14593,19-09-91,AAPL,49.75,1593317,-0.007481
14593,20-09-91,AAPL,50.625,1682805,0.017588
14593,23-09-91,AAPL,49.5,784270,-0.022222
14593,24-09-91,AAPL,50.25,949186,0.015152
14593,25-09-91,AAPL,50.5,488071,0.004975
